timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,reply_delay,flags
2026-04-30T13:02:02.034,A1,1,53,-64.7,-89.5,-24.8,127.11,88,15698,11186,8033,23354,1272,682840213,1
2026-04-30T13:02:03.025,A1,1,54,-64.8,-88.2,-23.3,152.04,108,17105,16420,11724,27401,1386,396111653,1
2026-04-30T13:02:04.075,A1,1,55,-64.4,-91.7,-27.2,96.76,108,6372,10450,10957,24447,1291,484476353,1
2026-04-30T13:02:05.037,A1,1,56,-64.9,-89.3,-24.4,138.16,104,14168,14369,11828,27675,1396,387127928,1
2026-04-30T13:02:06.027,A1,1,57,-67.0,-93.4,-26.4,84.61,116,6381,9815,11921,31537,1600,424154953,1
2026-04-30T13:02:07.044,A1,1,58,-66.7,-93.5,-26.8,84.3,116,6694,9779,9614,27664,1484,748296955,1
2026-04-30T13:02:08.035,A1,1,59,-67.1,-94.5,-27.4,112.19,104,6669,11668,6669,32307,1629,402922248,1
2026-04-30T13:02:09.027,A1,1,60,-67.8,-94.7,-26.9,93.21,120,3835,11185,8060,29248,1587,394454777,1
2026-04-30T13:02:10.044,A1,1,61,-67.4,-94.9,-27.5,110.35,100,4318,11035,6519,28396,1541,487396933,1
2026-04-30T13:02:11.033,A1,1,62,-67.1,-95.1,-28.0,87.86,92,1482,8083,10288,28734,1532,435866231,1
2026-04-30T13:02:12.025,A1,1,63,-66.1,-94.4,-28.3,73.05,148,4332,10812,9871,35000,1637,390693500,1
2026-04-30T13:02:13.045,A1,1,64,-66.3,-93.9,-27.7,100.72,108,6310,10878,6434,26726,1438,488067586,1
2026-04-30T13:02:14.033,A1,1,65,-66.2,-93.7,-27.5,106.3,104,3856,11055,9709,29391,1506,392856032,1
2026-04-30T13:02:15.026,A1,1,66,-69.5,-93.2,-23.7,124.86,108,9903,13485,7692,30656,1724,392380052,1
2026-04-30T13:02:16.075,A1,1,67,-69.1,-94.3,-25.2,123.82,100,5306,12382,8633,30904,1708,485788182,1
2026-04-30T13:02:17.033,A1,1,68,-64.9,-76.8,-11.9,123.7,132,16216,16329,12752,12018,921,392398044,1
2026-04-30T13:02:18.056,A1,1,69,-69.3,-99.2,-29.8,74.99,88,1248,6599,4551,23817,1509,521749221,1
2026-04-30T13:02:19.044,A1,1,70,-69.1,-93.5,-24.4,104.92,136,5863,14269,12006,37865,1887,460291916,1
2026-04-30T13:02:20.035,A1,1,71,-68.3,-92.8,-24.6,116.13,120,4284,13936,11200,30710,1651,743870589,1
2026-04-30T13:02:21.056,A1,1,72,-69.0,-92.8,-23.8,117.64,124,8270,14587,10781,34139,1788,393445597,1
2026-04-30T13:02:22.045,A1,1,73,-66.0,-91.6,-25.7,99.24,96,11163,9527,10698,26681,1422,398045579,1
2026-04-30T13:02:23.034,A1,1,74,-67.7,-92.8,-25.1,145.46,96,9219,13964,8170,32607,1667,440625163,1
2026-04-30T13:02:24.054,A1,1,75,-67.2,-91.6,-24.4,106.46,92,8414,9794,12210,23322,1388,458547635,1
2026-04-30T13:02:25.044,A1,1,76,-69.1,-93.1,-24.1,125.04,108,5665,13504,9868,28778,1644,682375788,1
2026-04-30T13:02:26.036,A1,1,77,-67.8,-92.9,-25.1,115.07,96,878,11047,14111,30890,1629,388292359,1
2026-04-30T13:02:27.056,A1,1,78,-67.9,-92.2,-24.3,144.91,76,3732,11013,11296,21291,1357,439733190,1
2026-04-30T13:02:28.045,A1,1,79,-66.9,-93.4,-26.5,115.88,112,9829,12979,9309,39808,1792,592372327,1
2026-04-30T13:02:29.094,A1,1,80,-66.9,-92.6,-25.7,128.42,104,8499,13356,9282,31803,1603,487644754,1
2026-04-30T13:02:30.056,A1,1,81,-67.0,-91.6,-24.6,111.84,108,6922,12079,12931,27069,1484,389893754,1
2026-04-30T13:02:31.045,A1,1,82,-66.2,-92.7,-26.5,98.71,112,5453,11056,10967,27748,1462,481091833,1
2026-04-30T13:02:32.064,A1,1,83,-67.8,-92.8,-24.9,126.41,116,11031,14663,8584,37794,1806,452658523,1
2026-04-30T13:02:33.054,A1,1,84,-65.5,-92.1,-26.6,101.89,132,9701,13449,11413,37861,1666,738056270,1
2026-04-30T13:02:34.044,A1,1,85,-63.5,-91.7,-28.3,107.24,76,7955,8150,5701,15970,1009,486720678,1
2026-04-30T13:02:35.064,A1,1,86,-65.8,-92.6,-26.8,88.46,80,7952,7077,9159,20307,1234,422720007,1
2026-04-30T13:02:36.054,A1,1,87,-67.0,-93.0,-26.1,75.99,92,7881,6991,10266,22436,1350,442672266,1
2026-04-30T13:02:37.074,A1,1,88,-65.9,-92.2,-26.3,119.21,104,11367,12398,7413,31376,1538,486482977,1
2026-04-30T13:02:38.064,A1,1,89,-67.5,-93.4,-25.9,81.99,104,6504,8527,13708,33072,1672,484902167,1
2026-04-30T13:02:39.054,A1,1,90,-67.8,-92.6,-24.8,133.94,108,9296,14465,8635,33061,1687,438122404,1
2026-04-30T13:02:40.074,A1,1,91,-67.8,-92.3,-24.5,146.56,88,5780,12897,9383,23913,1436,421578138,1
2026-04-30T13:02:41.063,A1,1,92,-67.9,-92.5,-24.6,127.55,96,1408,12245,12980,27877,1555,498107895,1
2026-04-30T13:02:42.055,A1,1,93,-65.8,-91.6,-25.8,119.45,84,8852,10034,11219,24637,1360,389276175,1
2026-04-30T13:02:43.074,A1,1,94,-65.4,-92.0,-26.5,111.83,92,7269,10288,8624,21174,1244,437132087,1
2026-04-30T13:02:44.064,A1,1,95,-67.1,-92.4,-25.2,140.92,100,6992,14092,11013,32542,1634,502304489,1
2026-04-30T13:02:45.053,A1,1,96,-67.5,-92.7,-25.2,137.13,92,4042,12616,10893,27432,1521,485520115,1
2026-04-30T13:02:46.074,A1,1,97,-68.2,-93.8,-25.6,105.07,108,4666,11348,12642,35472,1769,386144873,1
2026-04-30T13:02:47.064,A1,1,98,-66.5,-93.1,-26.5,122.25,84,5200,10269,6471,18864,1219,393230416,1
2026-04-30T13:02:48.055,A1,1,99,-67.4,-92.9,-25.5,121.9,112,2864,13653,11633,32343,1646,433814656,1
2026-04-30T13:02:49.074,A1,1,100,-68.7,-93.4,-24.7,105.22,120,8350,12627,7571,28987,1631,478171855,1
2026-04-30T13:02:50.064,A1,1,101,-70.5,-93.0,-22.5,111.99,104,8706,11647,16509,39098,2015,421855908,1
2026-04-30T13:02:51.087,A1,1,102,-64.6,-96.0,-31.4,93.48,84,3437,7852,4436,22582,1248,418553412,1
2026-04-30T13:02:52.073,A1,1,103,-65.4,-93.7,-28.3,77.23,128,5474,9885,14082,44011,1790,433290145,1
2026-04-30T13:02:53.063,A1,1,104,-65.2,-94.1,-29.0,75.38,128,6878,9648,9488,34844,1580,420647660,1
2026-04-30T13:02:54.082,A1,1,105,-65.5,-92.7,-27.1,90.79,112,5079,10169,9180,22583,1289,387154436,1
2026-04-30T13:02:55.072,A1,1,106,-66.2,-93.6,-27.4,62.07,132,10751,8193,11575,39913,1754,458013569,1
2026-04-30T13:02:56.092,A1,1,107,-65.4,-95.1,-29.7,86.3,104,3538,8975,8401,30717,1497,428290752,1
2026-04-30T13:02:57.082,A1,1,108,-65.8,-94.7,-28.9,75.2,108,5861,8122,9931,32618,1562,748704691,1
2026-04-30T13:02:58.073,A1,1,109,-65.9,-94.0,-28.1,63.07,84,7391,5298,8506,21687,1277,496331792,1
2026-04-30T13:02:59.062,A1,1,110,-66.2,-94.0,-27.9,79.1,92,6871,7277,11210,31140,1546,454101088,1
2026-04-30T13:03:00.081,A1,1,111,-66.0,-93.5,-27.4,79.52,108,915,8588,10840,23568,1340,436259170,1
2026-04-30T13:03:01.072,A1,1,112,-66.2,-94.1,-27.8,107.0,112,6286,11984,7629,33502,1607,475693248,1
2026-04-30T13:03:02.061,A1,1,113,-64.2,-91.0,-26.8,95.62,144,7959,13769,10592,28888,1392,388973518,1
2026-04-30T13:03:03.112,A1,1,114,-65.7,-92.9,-27.2,84.09,140,9106,11772,7676,30999,1519,700918186,1
2026-04-30T13:03:04.072,A1,1,115,-66.3,-92.6,-26.3,100.48,132,8083,13264,11483,36650,1683,415920777,1
2026-04-30T13:03:05.091,A1,1,116,-66.3,-92.4,-26.1,111.43,128,9133,14263,9843,36282,1680,426840553,1
2026-04-30T13:03:06.081,A1,1,117,-66.0,-92.4,-26.4,89.61,140,4197,12545,14024,35582,1642,648074473,1
2026-04-30T13:03:07.101,A1,1,118,-66.1,-92.1,-26.0,99.66,128,6536,12756,10657,28328,1473,480042295,1
2026-04-30T13:03:08.091,A1,1,119,-65.4,-94.1,-28.7,103.89,104,2492,10805,8247,28366,1438,517387801,1
2026-04-30T13:03:09.082,A1,1,120,-65.4,-93.1,-27.7,68.8,96,8809,6605,8195,22137,1269,428835532,1
2026-04-30T13:03:10.102,A1,1,121,-63.5,-94.8,-31.4,57.99,108,6312,6263,7327,26557,1301,447247431,1
2026-04-30T13:03:11.093,A1,1,122,-65.2,-95.3,-30.1,78.67,96,1637,7552,7785,23784,1308,448012854,1
2026-04-30T13:03:12.082,A1,1,123,-64.4,-92.7,-28.3,41.24,84,9515,3464,7198,17883,1103,738203646,1
2026-04-30T13:03:13.101,A1,1,124,-66.0,-93.4,-27.5,64.17,140,3128,8984,12394,29886,1505,757126841,1
2026-04-30T13:03:14.151,A1,1,125,-64.3,-93.9,-29.6,47.54,112,8172,5325,9777,29254,1406,666578305,1
2026-04-30T13:03:15.111,A1,1,126,-64.8,-94.5,-29.7,79.7,100,4563,7970,8469,26662,1365,451869238,1
2026-04-30T13:03:16.101,A1,1,127,-64.0,-94.1,-30.1,78.16,88,4266,6878,8342,22150,1209,430549433,1
2026-04-30T13:03:17.093,A1,1,128,-64.1,-91.9,-27.8,95.46,104,9622,9928,6515,22765,1232,410863080,1
2026-04-30T13:03:18.113,A1,1,129,-66.3,-94.3,-28.0,92.4,120,5532,11088,7929,31658,1565,433041613,1
2026-04-30T13:03:19.103,A1,1,130,-63.4,-90.9,-27.5,82.38,128,10347,10545,9514,25169,1262,416234920,1
2026-04-30T13:03:20.094,A1,1,131,-66.2,-92.8,-26.6,102.31,120,5072,12277,11103,31134,1547,755648195,1
2026-04-30T13:03:21.112,A1,1,132,-66.5,-94.6,-28.1,72.01,132,5795,9505,8236,29461,1520,434762623,1
2026-04-30T13:03:22.102,A1,1,133,-65.7,-93.9,-28.2,103.72,108,3937,11202,8916,30741,1511,433490759,1
2026-04-30T13:03:23.092,A1,1,134,-66.7,-93.8,-27.1,101.05,112,1489,11318,11517,33036,1622,473545458,1
2026-04-30T13:03:24.113,A1,1,135,-65.5,-93.6,-28.1,131.05,88,5306,11532,7379,28051,1433,478148487,1
