timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-05-01T13:17:14.869,T1,1,649,5.98,-76.7,-97.4,-20.7,98.3,472141030,472138479,20,1382,1966,1344,1102,418,3,1,True
2026-05-01T13:17:14.989,T1,1,650,5.755,-68.6,-95.6,-27.0,109.65,756690453,756687998,60,5284,6579,4992,16136,1209,3,1,True
2026-05-01T13:17:15.049,T1,1,651,5.042,-68.9,-95.8,-26.9,97.94,422933381,422931230,84,4386,8227,7698,25296,1531,3,1,True
2026-05-01T13:17:15.168,T1,1,652,5.671,-inf,-107.8,inf,16.38,392282472,392280054,8,72,131,135,0,101,1,1,False
2026-05-01T13:17:15.380,T1,1,654,4.948,-68.4,-96.0,-27.6,103.1,393838536,393836425,68,4206,7011,5445,17912,1267,3,1,True
2026-05-01T13:17:15.500,T1,1,655,5.718,-68.4,-96.0,-27.6,86.92,520446586,520444147,72,2800,6258,6359,16376,1211,3,1,True
2026-05-01T13:17:15.950,T1,1,659,4.751,-68.6,-95.2,-26.6,98.68,424096751,424094724,76,6084,7500,4804,17722,1268,3,1,True
2026-05-01T13:17:16.039,T1,1,660,6.233,-68.0,-95.9,-27.9,82.09,760335990,760333332,64,183,5254,7716,16425,1196,3,1,True
2026-05-01T13:17:16.158,T1,1,661,4.798,-68.1,-102.3,-34.1,49.18,482552340,482550294,72,1770,3541,2918,19383,1306,3,1,True
2026-05-01T13:17:16.368,T1,1,663,4.817,-67.3,-98.7,-31.4,59.35,412835825,412833771,72,4385,4273,2812,17012,1187,3,1,True
2026-05-01T13:17:16.458,T1,1,664,4.77,-68.4,-98.7,-30.3,61.6,439315539,439313504,80,2944,4928,4030,17042,1236,3,1,True
2026-05-01T13:17:16.578,T1,1,665,5.098,-68.6,-96.9,-28.3,80.64,498148603,498146429,64,3704,5161,5387,15857,1201,3,1,True
2026-05-01T13:17:16.790,T1,1,667,4.643,-80.2,-98.9,-18.6,61.46,408060693,408058712,68,5755,4179,2813,9283,1373,3,1,True
2026-05-01T13:17:16.878,T1,1,668,4.756,-68.8,-97.7,-28.9,69.39,431893328,431891300,76,5481,5274,4366,20580,1376,3,1,True
2026-05-01T13:17:16.999,T1,1,669,4.934,-68.6,-96.9,-28.3,56.74,482127488,482125383,72,6069,4085,4612,17035,1244,3,1,True
2026-05-01T13:17:17.208,T1,1,671,4.765,-68.3,-101.5,-33.2,45.72,461511459,461509426,88,3273,4023,2892,23344,1441,3,1,True
