timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,reply_delay,flags
2026-03-26T14:38:23.176,A1,1,5478,-66.1,-92.7,-26.6,72.56,120,3435,8707,9979,19211,1212,639000325,1
2026-03-26T14:38:23.657,A1,1,5479,-65.5,-91.6,-26.2,128.61,92,6418,11832,8915,21743,1262,639000152,1
2026-03-26T14:38:24.137,A1,1,5480,-65.9,-92.1,-26.2,127.48,96,8882,12238,7474,25569,1388,639000142,1
2026-03-26T14:38:24.645,A1,1,5481,-66.0,-92.1,-26.1,95.18,104,3213,9899,10431,19508,1216,639000023,1
2026-03-26T14:38:25.155,A1,1,5482,-65.5,-91.8,-26.3,113.4,104,5182,11794,9869,22818,1292,639000001,1
2026-03-26T14:38:25.634,A1,1,5483,-65.3,-91.7,-26.4,96.8,128,7652,12391,8403,24286,1325,638999920,1
2026-03-26T14:38:26.149,A1,1,5484,-64.9,-88.8,-23.9,123.28,136,14190,16766,15277,32231,1506,639000188,1
2026-03-26T14:38:26.685,A1,1,5485,-66.4,-89.8,-23.4,110.85,148,15613,16406,13004,35286,1662,639000207,1
2026-03-26T14:38:27.167,A1,1,5486,-67.1,-94.7,-27.6,67.0,136,2573,9112,10960,31663,1612,639000062,1
2026-03-26T14:38:27.648,A1,1,5487,-65.3,-88.1,-22.8,160.69,116,17267,18640,12605,29881,1469,639000037,1
2026-03-26T14:38:28.160,A1,1,5488,-64.2,-87.4,-23.1,118.85,124,15124,14738,12425,22656,1234,639000002,1
2026-03-26T14:38:28.636,A1,1,5489,-66.7,-94.4,-27.7,72.96,92,3274,6712,9794,22019,1326,639000203,1
2026-03-26T14:38:29.146,A1,1,5490,-66.1,-91.6,-25.5,95.78,132,4623,12643,14213,30324,1523,639000106,1
2026-03-26T14:38:29.655,A1,1,5491,-66.4,-89.7,-23.4,115.14,148,12977,17040,12268,30825,1549,639000164,1
2026-03-26T14:38:30.164,A1,1,5492,-66.9,-89.5,-22.6,134.58,124,17346,16688,12707,34614,1672,638999907,1
2026-03-26T14:38:30.649,A1,1,5493,-66.9,-89.2,-22.3,157.92,116,14493,18319,16515,35684,1699,638999996,1
2026-03-26T14:38:31.157,A1,1,5494,-66.8,-88.7,-22.0,166.42,100,14182,16642,13504,25861,1440,639000042,1
2026-03-26T14:38:31.673,A1,1,5495,-66.8,-88.7,-22.0,155.84,112,12996,17454,15408,27840,1494,639000186,1
2026-03-26T14:38:32.146,A1,1,5496,-67.0,-89.6,-22.5,143.69,124,18969,17818,11205,37440,1747,638999928,1
2026-03-26T14:38:32.656,A1,1,5497,-65.4,-88.9,-23.5,140.38,124,13735,17407,14173,31080,1503,639000228,1
2026-03-26T14:38:33.165,A1,1,5498,-65.8,-88.9,-23.1,150.36,108,11131,16239,16346,28572,1461,639000254,1
2026-03-26T14:38:33.674,A1,1,5499,-66.3,-89.2,-22.9,149.12,128,14471,19087,16268,37814,1712,639000187,1
2026-03-26T14:38:34.157,A1,1,5500,-65.7,-89.0,-23.4,147.09,112,16306,16474,10681,29415,1478,639000145,1
2026-03-26T14:38:34.665,A1,1,5501,-65.6,-88.9,-23.4,157.05,116,15145,18218,14518,34441,1595,638999934,1
2026-03-26T14:38:35.174,A1,1,5502,-65.6,-90.0,-24.4,140.66,96,17738,13503,8107,32238,1545,639000130,1
2026-03-26T14:38:35.657,A1,1,5503,-65.9,-89.2,-23.2,132.84,116,10036,15410,16373,27800,1449,639000069,1
2026-03-26T14:38:36.165,A1,1,5504,-76.0,-89.7,-13.6,107.69,124,16682,13354,8362,13505,1433,639000036,1
2026-03-26T14:38:36.676,A1,1,5505,-67.1,-89.1,-22.0,151.11,128,17356,19342,16868,40141,1815,639000323,1
2026-03-26T14:38:37.157,A1,1,5506,-65.5,-88.7,-23.2,154.75,104,12091,16094,15219,26840,1401,639000125,1
2026-03-26T14:38:37.664,A1,1,5507,-67.1,-88.8,-21.7,194.67,92,14425,17910,13114,27039,1486,639000097,1
