timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,reply_delay,flags
2026-03-26T14:34:39.323,A1,1,5031,-67.8,-90.4,-22.6,113.55,128,9384,14535,12554,24446,1452,639000206,1
2026-03-26T14:34:39.832,A1,1,5032,-68.0,-90.7,-22.7,106.98,112,7571,11982,13929,22257,1391,639000145,1
2026-03-26T14:34:40.312,A1,1,5033,-68.2,-90.6,-22.4,116.88,116,14146,13558,8142,24473,1473,639000352,1
2026-03-26T14:34:40.822,A1,1,5034,-67.9,-90.7,-22.8,101.77,116,7567,11805,14070,22426,1395,638999977,1
2026-03-26T14:34:41.332,A1,1,5035,-68.4,-90.2,-21.8,144.27,116,11160,16735,13962,29551,1630,638999949,1
2026-03-26T14:34:41.812,A1,1,5036,-68.3,-90.2,-21.8,132.01,132,12929,17425,12343,30339,1646,639000242,1
2026-03-26T14:34:42.322,A1,1,5037,-68.1,-90.7,-22.6,97.73,124,7397,12118,14383,22943,1417,639000354,1
2026-03-26T14:34:42.834,A1,1,5038,-68.0,-90.2,-22.2,124.33,124,9525,15417,12667,24745,1468,639000095,1
2026-03-26T14:34:43.344,A1,1,5039,-68.4,-90.8,-22.4,112.89,128,6940,14450,16123,29032,1613,639000051,1
2026-03-26T14:34:43.824,A1,1,5040,-67.9,-90.4,-22.4,115.63,124,12035,14338,10264,23964,1441,639000380,1
2026-03-26T14:34:44.332,A1,1,5041,-68.1,-90.2,-22.1,134.65,124,11279,16697,12756,28216,1572,638999941,1
2026-03-26T14:34:44.842,A1,1,5042,-68.4,-90.0,-21.6,137.82,120,10212,16538,14463,27621,1574,639000322,1
2026-03-26T14:34:45.353,A1,1,5043,-67.9,-90.2,-22.2,124.57,104,8767,12955,12629,20256,1326,638999980,1
2026-03-26T14:34:45.835,A1,1,5044,-67.8,-90.1,-22.3,123.43,116,11039,14318,10471,21863,1373,639000136,1
2026-03-26T14:34:46.344,A1,1,5045,-68.2,-90.3,-22.1,123.54,124,7457,15319,16090,27987,1571,639000103,1
2026-03-26T14:34:46.851,A1,1,5046,-68.5,-90.3,-21.8,135.13,124,11548,16756,13454,29729,1637,638999977,1
2026-03-26T14:34:47.333,A1,1,5047,-68.3,-90.3,-22.0,119.84,140,9950,16778,15678,31611,1679,638999901,1
2026-03-26T14:34:47.842,A1,1,5048,-68.0,-90.1,-22.1,127.3,116,10796,14767,11169,22698,1406,639000342,1
2026-03-26T14:34:48.352,A1,1,5049,-68.2,-90.0,-21.7,136.04,124,13240,16869,11516,27785,1570,639000253,1
2026-03-26T14:34:48.833,A1,1,5050,-68.2,-90.3,-22.1,118.88,144,11537,17119,13490,30980,1654,638999886,1
2026-03-26T14:34:49.344,A1,1,5051,-67.8,-90.5,-22.7,116.31,128,15025,14888,9215,29180,1586,639000089,1
2026-03-26T14:34:49.853,A1,1,5052,-68.2,-90.7,-22.5,106.27,124,12919,13178,9747,24306,1465,638999966,1
2026-03-26T14:34:50.332,A1,1,5053,-68.0,-90.2,-22.2,129.98,128,10274,16638,13793,29067,1594,639000045,1
2026-03-26T14:34:50.842,A1,1,5054,-67.9,-90.7,-22.8,93.0,128,7473,11904,14815,23907,1440,639000244,1
2026-03-26T14:34:51.352,A1,1,5055,-68.4,-90.4,-22.0,111.2,148,9730,16458,14688,29973,1640,639000291,1
2026-03-26T14:34:51.832,A1,1,5056,-67.7,-90.4,-22.8,101.53,124,10253,12590,11541,21590,1357,638999947,1
2026-03-26T14:34:52.344,A1,1,5057,-67.9,-90.6,-22.7,111.49,132,7467,14717,16027,29785,1606,638999985,1
2026-03-26T14:34:52.853,A1,1,5058,-68.0,-90.2,-22.1,122.77,140,11689,17188,13621,30792,1639,638999979,1
2026-03-26T14:34:53.334,A1,1,5059,-68.0,-90.1,-22.1,123.65,136,12134,16816,12089,28480,1575,639000269,1
2026-03-26T14:34:53.843,A1,1,5060,-67.5,-90.1,-22.6,117.62,124,8657,14585,13764,24339,1430,639000060,1
2026-03-26T14:34:54.355,A1,1,5061,-67.7,-90.2,-22.6,111.84,140,11479,15658,10842,25690,1479,639000310,1
2026-03-26T14:34:54.831,A1,1,5062,-67.8,-90.2,-22.5,120.76,112,10867,13525,10863,21602,1362,639000139,1
2026-03-26T14:34:55.344,A1,1,5063,-67.9,-91.1,-23.3,103.77,124,4451,12867,16056,27872,1552,639000099,1
2026-03-26T14:34:55.852,A1,1,5064,-67.9,-90.3,-22.4,128.1,132,10864,16909,14662,32000,1663,639000269,1
2026-03-26T14:34:56.332,A1,1,5065,-67.6,-90.2,-22.6,116.7,124,10294,14471,11786,23489,1413,638999887,1
2026-03-26T14:34:56.842,A1,1,5066,-67.7,-90.5,-22.9,108.14,132,14469,14275,8651,27129,1520,638999968,1
2026-03-26T14:34:57.382,A1,1,5067,-67.9,-90.3,-22.4,123.25,136,8333,16762,17013,33561,1706,639000267,1
2026-03-26T14:34:57.831,A1,1,5068,-67.7,-90.5,-22.8,118.85,140,11919,16639,11166,29982,1601,639000226,1
2026-03-26T14:34:58.342,A1,1,5069,-67.9,-90.3,-22.4,113.48,116,10628,13164,11360,21648,1371,639000329,1
2026-03-26T14:34:58.852,A1,1,5070,-67.9,-90.1,-22.2,123.95,108,10570,13387,11161,20590,1336,639000278,1
2026-03-26T14:34:59.366,A1,1,5071,-68.0,-90.2,-22.2,123.33,132,12329,16279,11887,28243,1572,639000164,1
2026-03-26T14:34:59.842,A1,1,5072,-67.9,-90.2,-22.2,122.98,108,10730,13282,10968,20668,1338,639000117,1
2026-03-26T14:35:00.352,A1,1,5073,-68.0,-90.2,-22.1,134.98,128,12879,17278,11905,30199,1625,639000165,1
2026-03-26T14:35:00.861,A1,1,5074,-68.0,-90.8,-22.8,109.09,132,6285,14400,16425,29852,1613,638999953,1
2026-03-26T14:35:01.342,A1,1,5075,-68.1,-90.8,-22.7,120.74,120,6309,14489,16650,29991,1622,639000281,1
2026-03-26T14:35:01.851,A1,1,5076,-67.9,-90.4,-22.5,107.99,136,14095,14686,8560,26032,1503,639000294,1
2026-03-26T14:35:02.332,A1,1,5077,-67.5,-90.4,-22.9,128.98,120,12046,15477,9641,26202,1488,639000185,1
2026-03-26T14:35:02.844,A1,1,5078,-67.8,-90.5,-22.6,122.12,132,11758,16120,10986,28127,1556,639000089,1
2026-03-26T14:35:03.354,A1,1,5079,-67.8,-90.2,-22.4,112.92,116,10994,13099,10512,20731,1337,638999939,1
2026-03-26T14:35:03.861,A1,1,5080,-67.8,-90.1,-22.2,129.92,132,13004,17149,11882,29929,1607,639000119,1
2026-03-26T14:35:04.341,A1,1,5081,-67.6,-90.7,-23.1,114.83,120,14759,13780,9249,28566,1558,639000107,1
