timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-03-26T14:35:23.893,T1,1,5090,0.108,-68.4,-90.5,-22.1,155.38,638977682,638977636,88,11313,13673,10359,22100,1408,3,1,True
2026-03-26T14:35:24.374,T1,1,5091,1.008,-68.3,-90.7,-22.4,148.92,638978066,638977636,88,8448,13105,12549,22175,1404,3,1,True
2026-03-26T14:35:24.884,T1,1,5092,1.205,-68.4,-90.7,-22.3,153.94,638978151,638977636,104,12557,16010,10462,29064,1615,3,1,True
2026-03-26T14:35:25.429,T1,1,5093,1.032,-68.8,-91.2,-22.4,166.1,638978077,638977636,88,5893,14617,17538,33414,1752,3,1,True
2026-03-26T14:35:25.903,T1,1,5094,0.605,-68.7,-91.0,-22.3,177.9,638977895,638977636,84,6319,14944,16492,31040,1687,3,1,True
2026-03-26T14:35:26.386,T1,1,5095,0.633,-69.0,-90.5,-21.5,167.92,638977906,638977636,100,13612,16792,11394,30106,1680,3,1,True
2026-03-26T14:35:26.893,T1,1,5096,1.529,-68.7,-90.8,-22.1,132.06,638978289,638977636,112,14577,14791,9107,28254,1608,3,1,True
2026-03-26T14:35:27.373,T1,1,5097,0.76,-68.5,-90.5,-22.1,203.44,638977961,638977636,80,12312,16275,11167,28448,1601,3,1,True
2026-03-26T14:35:27.899,T1,1,5098,0.858,-68.8,-90.5,-21.8,168.12,638978003,638977636,100,11759,16812,11947,29201,1638,3,1,True
2026-03-26T14:35:28.393,T1,1,5099,0.976,-68.9,-90.5,-21.6,160.41,638978052,638977636,104,10566,16683,14009,29952,1670,3,1,True
