timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,reply_delay
2026-02-19T21:15:14.803,A1,1,7,-66.7,-80.7,-14.0,691.92,349519250
2026-02-19T21:15:15.297,A1,1,8,-69.2,-84.3,-15.0,425.07,576359019
2026-02-19T21:15:15.855,A1,1,9,-66.5,-83.8,-17.3,352.86,389419198
2026-02-19T21:15:16.335,A1,1,10,-69.2,-86.4,-17.3,545.61,350653758
2026-02-19T21:15:16.875,A1,1,11,-67.8,-79.1,-11.3,439.67,388856445
2026-02-19T21:15:17.354,A1,1,12,-67.0,-80.4,-13.4,634.79,622720090
2026-02-19T21:15:17.895,A1,1,13,-68.2,-82.6,-14.5,476.48,410649698
2026-02-19T21:15:18.314,A1,1,14,-67.5,-82.3,-14.8,468.45,358684904
2026-02-19T21:15:18.855,A1,1,15,-68.2,-82.9,-14.7,399.16,664589251
2026-02-19T21:15:19.394,A1,1,16,-68.2,-82.7,-14.4,530.92,621638306
2026-02-19T21:15:19.874,A1,1,17,-65.9,-78.4,-12.5,377.5,412202916
2026-02-19T21:15:20.354,A1,1,18,-66.2,-79.0,-12.8,532.12,355721428
2026-02-19T21:15:20.874,A1,1,19,-66.1,-78.1,-11.9,419.23,612081814
2026-02-19T21:15:21.375,A1,1,20,-67.1,-81.1,-14.0,556.69,460688913
2026-02-19T21:15:21.794,A1,1,21,-66.5,-79.6,-13.2,530.66,347658795
2026-02-19T21:15:22.396,A1,1,22,-68.1,-82.7,-14.7,487.48,393680723
2026-02-19T21:15:22.874,A1,1,23,-64.8,-77.2,-12.4,523.22,547081913
2026-02-19T21:15:23.413,A1,1,24,-64.9,-77.0,-12.1,440.95,644353928
2026-02-19T21:15:23.834,A1,1,25,-66.4,-80.0,-13.6,482.65,390170734
2026-02-19T21:15:24.314,A1,1,26,-66.7,-83.4,-16.8,374.14,560161253
2026-02-19T21:15:24.913,A1,1,27,-67.4,-84.1,-16.8,401.1,668882843
2026-02-19T21:15:25.393,A1,1,28,-67.0,-84.4,-17.3,446.72,417718132
2026-02-19T21:15:25.873,A1,1,29,-68.1,-83.3,-15.2,567.0,360302749
2026-02-19T21:15:26.472,A1,1,30,-67.7,-81.5,-13.8,510.38,386568554
2026-02-19T21:15:26.893,A1,1,31,-65.3,-81.2,-15.9,423.11,345203199
2026-02-19T21:15:27.372,A1,1,32,-66.4,-81.4,-15.0,422.32,355830208
2026-02-19T21:15:27.852,A1,1,33,-66.5,-79.1,-12.6,515.86,638284386
2026-02-19T21:15:28.392,A1,1,34,-64.6,-78.3,-13.7,528.31,353190998
2026-02-19T21:15:28.872,A1,1,35,-64.9,-78.6,-13.7,518.41,550941188
2026-02-19T21:15:29.352,A1,1,36,-66.6,-76.7,-10.1,509.94,483936859
2026-02-19T21:15:29.892,A1,1,37,-69.1,-83.9,-14.8,417.27,677805484
2026-02-19T21:15:30.432,A1,1,38,-68.2,-81.4,-13.2,418.27,545283151
2026-02-19T21:15:30.912,A1,1,39,-67.7,-82.8,-15.1,471.38,669583770
2026-02-19T21:15:31.391,A1,1,40,-67.6,-82.7,-15.1,494.14,387293378
2026-02-19T21:15:31.872,A1,1,41,-68.3,-81.7,-13.4,441.27,346323633
2026-02-19T21:15:32.411,A1,1,42,-67.9,-83.9,-16.0,434.25,513759243
2026-02-19T21:15:32.905,A1,1,43,-66.5,-81.0,-14.5,477.81,510660222
2026-02-19T21:15:33.312,A1,1,44,-66.7,-80.5,-13.8,419.48,576063234
2026-02-19T21:15:33.911,A1,1,45,-67.9,-80.8,-12.8,491.92,343745550
