timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,reply_delay,flags
2026-02-19T22:06:28.217,A1,1,23,-67.0,-92.7,-25.7,87.06,48,9337,4179,5532,12949,1025,460139018,1
2026-02-19T22:06:28.712,A1,1,24,-66.6,-93.8,-27.3,199.47,32,6618,6383,4493,13393,1028,380265522,1
2026-02-19T22:06:29.222,A1,1,25,-66.6,-93.6,-27.0,199.25,36,4788,7173,4156,11117,937,518944680,1
2026-02-19T22:06:29.822,A1,1,26,-67.2,-92.0,-24.8,116.14,36,9827,4181,6333,12445,1012,392158750,1
2026-02-19T22:06:30.244,A1,1,27,-66.2,-93.1,-26.9,175.18,40,7563,7007,5048,14703,1064,386378755,1
2026-02-19T22:06:30.781,A1,1,28,-66.1,-91.6,-25.5,133.7,44,9981,5883,6185,13586,1018,518512351,1
2026-02-19T22:06:31.261,A1,1,29,-65.7,-94.0,-28.3,128.85,48,6424,6185,5586,15682,1081,648908535,1
2026-02-19T22:06:31.741,A1,1,30,-65.7,-95.0,-29.3,156.12,40,5003,6245,4097,14423,1036,688623266,1
2026-02-19T22:06:32.221,A1,1,31,-72.6,-93.2,-20.6,105.59,44,11190,4646,6046,13398,1265,648725529,1
2026-02-19T22:06:32.761,A1,1,32,-66.1,-91.4,-25.3,152.16,44,10061,6695,6820,14513,1053,481512464,1
2026-02-19T22:06:33.241,A1,1,33,-66.3,-94.6,-28.2,160.48,40,5298,6419,3956,13120,1010,648170525,1
2026-02-19T22:06:33.721,A1,1,34,-65.8,-93.6,-27.8,161.12,40,7293,6445,5042,15361,1072,515387135,1
2026-02-19T22:06:34.321,A1,1,35,-64.9,-92.5,-27.6,165.02,40,7553,6601,5858,14243,1000,518088692,1
2026-02-19T22:06:34.802,A1,1,36,-66.4,-91.0,-24.6,133.57,40,12399,5343,6555,15237,1089,419401634,1
