timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-02-19T22:49:32.281,T1,1,19,2.903,-66.3,-88.4,-22.1,355.45,382836781,382835543,40,12579,14218,9665,16983,1147,3,1,True
2026-02-19T22:49:33.241,T1,1,21,3.269,-66.6,-88.9,-22.3,251.32,598322478,598321084,44,14529,11058,7266,16042,1128,3,1,True
2026-02-19T22:49:34.800,T1,1,24,3.086,-64.8,-88.8,-23.9,287.97,598282321,598281005,36,10489,10367,8663,13223,963,3,1,True
2026-02-19T22:49:37.741,T1,1,30,2.566,-70.6,-94.7,-24.0,134.91,436541275,436540181,44,8209,5936,4275,14146,1217,3,1,True
2026-02-19T22:49:38.820,T1,1,32,2.537,-69.3,-97.1,-27.8,78.56,385543186,385542103,52,6621,4085,3342,16265,1244,3,1,True
2026-02-19T22:49:39.242,T1,1,33,2.856,-76.1,-95.2,-19.1,190.43,648424854,648423635,44,8543,8379,5627,15992,1562,3,1,True
2026-02-19T22:49:40.261,T1,1,35,2.673,-74.0,-92.4,-18.4,171.11,717585184,717584043,64,9080,10951,7018,13825,1352,3,1,True
2026-02-19T22:49:41.281,T1,1,37,3.513,-71.3,-88.7,-17.3,274.38,710752123,710750625,60,37,16463,17526,16227,1334,3,1,True
2026-02-19T22:49:42.240,T1,1,39,3.157,-69.3,-90.0,-20.7,242.98,642497446,642496099,44,11863,10691,7614,13766,1147,3,1,True
2026-02-19T22:49:42.781,T1,1,40,2.969,-68.7,-79.5,-10.8,433.3,650632087,650630821,44,17785,19065,14545,14345,1146,3,1,True
2026-02-19T22:49:43.260,T1,1,41,3.007,-71.6,-84.2,-12.6,330.27,708687241,708685959,56,18361,18495,16286,17187,1386,3,1,True
2026-02-19T22:49:43.741,T1,1,42,3.044,-73.0,-91.4,-18.4,209.67,508360980,508359681,60,8787,12580,10176,15876,1400,3,1,True
2026-02-19T22:49:45.781,T1,1,46,3.18,-73.7,-90.6,-16.9,204.09,384922801,384921445,56,16,11429,16479,15136,1399,3,1,True
2026-02-19T22:49:46.740,T1,1,48,2.744,-78.5,-93.9,-15.5,177.86,513971459,513970288,44,8761,7826,5867,9914,1334,3,1,True
2026-02-19T22:49:47.281,T1,1,49,3.279,-75.2,-91.0,-15.8,276.79,574721599,574720201,52,24,14393,13742,14629,1449,3,1,True
2026-02-19T22:49:48.240,T1,1,51,3.053,-72.3,-90.2,-17.8,218.57,398237113,398235810,44,12086,9617,6338,10337,1103,3,1,True
2026-02-19T22:49:50.280,T1,1,55,3.138,-74.3,-87.5,-13.2,414.77,710207188,710205850,44,15094,18250,12886,13783,1365,3,1,True
2026-02-19T22:49:50.761,T1,1,56,3.058,-71.6,-83.5,-11.9,407.34,395609223,395607919,44,16124,17923,13734,13391,1222,3,1,True
2026-02-19T22:49:51.303,T1,1,57,3.175,-73.7,-87.0,-13.3,336.81,397701699,397700345,52,11838,17514,14430,12496,1273,3,1,True
2026-02-19T22:49:52.260,T1,1,59,3.189,-74.4,-88.0,-13.7,377.83,394686824,394685464,48,15785,18136,12329,14401,1396,3,1,True
2026-02-19T22:49:52.801,T1,1,60,3.241,-72.9,-86.4,-13.5,365.77,703122954,703121571,48,12842,17557,13891,12889,1255,3,1,True
2026-02-19T22:49:53.760,T1,1,62,3.171,-74.6,-89.5,-15.0,266.1,708402532,708401180,52,14684,13837,9422,13596,1366,3,1,True
2026-02-19T22:49:54.300,T1,1,63,3.227,-73.5,-88.6,-15.1,323.44,430641222,430639845,52,13820,16819,11710,14488,1360,3,1,True
2026-02-19T22:49:54.780,T1,1,64,3.372,-73.9,-89.7,-15.8,359.48,512178264,512176825,44,50,15817,15700,14762,1392,3,1,True
2026-02-19T22:49:55.260,T1,1,65,3.884,-75.7,-92.5,-16.8,273.3,705152258,705150601,44,35,12025,13088,15964,1538,3,1,True
2026-02-19T22:49:55.800,T1,1,66,3.039,-75.8,-92.1,-16.2,213.39,394799149,394797853,44,10866,9389,6933,11484,1311,3,1,True
2026-02-19T22:49:56.820,T1,1,68,3.096,-75.9,-92.1,-16.2,224.82,422078803,422077483,44,9025,9892,7855,10831,1277,3,1,True
2026-02-19T22:49:57.300,T1,1,69,3.41,-74.3,-90.4,-16.1,344.3,554338838,554337384,44,59,15149,14765,15263,1435,3,1,True
2026-02-19T22:50:03.779,T1,1,82,2.763,-76.2,-90.8,-14.7,239.54,454093586,454092407,48,12410,11498,7664,11438,1325,3,1,True
2026-02-19T22:50:04.260,T1,1,83,3.086,-73.8,-92.7,-18.9,202.58,585406893,585405577,36,11082,7293,4605,11747,1235,3,1,True
2026-02-19T22:50:05.280,T1,1,85,2.664,-79.0,-93.8,-14.8,194.0,385883652,385882515,44,8385,8536,6047,9757,1351,3,1,True
2026-02-19T22:50:05.759,T1,1,86,2.992,-73.2,-88.7,-15.5,344.9,384498307,384497030,52,14785,17935,13952,18228,1511,3,1,True
2026-02-19T22:50:06.300,T1,1,87,3.011,-72.4,-87.9,-15.6,408.68,389075341,389074057,44,17224,17982,13734,18063,1459,3,1,True
2026-02-19T22:50:07.260,T1,1,89,2.734,-76.0,-93.9,-17.9,155.48,396575589,396574423,44,8576,6841,4158,9317,1189,3,1,True
2026-02-19T22:50:07.860,T1,1,90,2.833,-76.9,-95.2,-18.3,150.21,653039511,653038303,48,7422,7210,5018,11432,1357,3,1,True
2026-02-19T22:50:08.283,T1,1,91,3.335,-70.2,-86.2,-16.0,371.58,434934213,434932791,48,14486,17836,12846,15982,1272,3,1,True
2026-02-19T22:50:08.820,T1,1,92,3.541,-75.0,-90.7,-15.7,307.27,646398619,646397108,44,102,13520,13277,12514,1330,3,1,True
2026-02-19T22:50:10.320,T1,1,95,3.433,-76.5,-92.4,-16.0,247.36,644530005,644528540,44,9111,10884,8137,12593,1405,3,1,True
2026-02-19T22:50:10.860,T1,1,96,3.189,-77.2,-92.6,-15.4,228.14,392866799,392865438,56,34,12776,13342,15787,1613,3,1,True
2026-02-19T22:50:11.280,T1,1,97,3.218,-76.5,-91.6,-15.1,210.77,385431046,385429674,60,12386,12646,8761,15177,1543,3,1,True
2026-02-19T22:50:11.820,T1,1,98,3.227,-75.6,-92.4,-16.8,174.62,713715328,713713952,48,11556,8382,5322,11408,1296,3,1,True
2026-02-19T22:50:12.780,T1,1,100,3.377,-75.9,-91.6,-15.7,212.04,391221984,391220544,56,6336,11874,11679,12776,1389,3,1,True
2026-02-19T22:50:13.379,T1,1,101,3.335,-74.6,-88.9,-14.3,431.95,400778468,400777045,40,82,17278,16294,13467,1363,3,1,True
2026-02-19T22:50:13.801,T1,1,102,3.358,-73.6,-88.0,-14.4,355.83,394013869,394012436,52,13509,18503,14989,15473,1409,3,1,True
2026-02-19T22:50:14.279,T1,1,103,3.386,-73.6,-87.6,-14.0,350.12,384181547,384180102,48,17597,16806,10765,14217,1352,3,1,True
2026-02-19T22:50:14.760,T1,1,104,3.34,-74.8,-88.7,-13.8,335.54,391880697,391879272,52,15243,17448,13924,16129,1502,3,1,True
2026-02-19T22:50:15.299,T1,1,105,3.49,-73.9,-87.7,-13.9,331.67,438270550,438269061,52,13988,17247,12641,12985,1303,3,1,True
2026-02-19T22:50:15.779,T1,1,106,3.687,-75.6,-89.5,-13.9,381.11,653755649,653754077,44,14711,16769,12641,16693,1568,3,1,True
2026-02-19T22:50:17.279,T1,1,109,3.912,-77.2,-89.8,-12.7,323.73,707681378,707679710,48,13827,15539,12069,14249,1530,3,1,True
2026-02-19T22:50:18.300,T1,1,111,3.949,-77.7,-89.6,-11.9,272.52,653660159,653658475,60,15540,16351,11592,14551,1575,3,1,True
2026-02-19T22:50:18.779,T1,1,112,3.26,-77.5,-89.4,-11.9,350.25,393202217,393200826,52,12709,18213,14640,15447,1612,3,1,True
2026-02-19T22:50:19.320,T1,1,113,3.293,-77.0,-92.6,-15.6,252.05,654106801,654105396,40,9669,10082,7856,12142,1404,3,1,True
2026-02-19T22:50:20.373,T1,1,115,3.621,-75.8,-92.1,-16.3,178.94,708084428,708082884,52,10987,9305,6002,10998,1283,3,1,True
2026-02-19T22:50:21.839,T1,1,118,3.119,-75.8,-91.2,-15.5,278.17,396652616,396651285,36,11710,10014,6809,10628,1260,3,1,True
2026-02-19T22:50:22.800,T1,1,120,3.096,-75.5,-93.1,-17.6,241.05,399583254,399581934,40,11166,9642,5699,14665,1467,3,1,True
2026-02-19T22:50:24.300,T1,1,123,3.386,-76.5,-92.3,-15.8,171.75,654900392,654898947,52,10065,8931,6269,9947,1248,3,1,True
2026-02-19T22:50:25.319,T1,1,125,3.602,-75.3,-92.7,-17.4,184.12,717771168,717769632,48,11390,8838,6534,13495,1396,3,1,True
2026-02-19T22:50:25.859,T1,1,126,3.687,-75.3,-90.8,-15.5,303.66,656593372,656591799,44,12048,13361,9867,14654,1455,3,1,True
2026-02-19T22:50:26.819,T1,1,128,3.185,-76.4,-91.3,-14.9,247.5,658381768,658380410,44,10298,10890,8939,11070,1315,3,1,True
2026-02-19T22:50:27.304,T1,1,129,3.41,-71.8,-89.8,-18.0,255.3,574452417,574450963,44,13016,11233,7921,12735,1202,3,1,True
2026-02-19T22:50:27.780,T1,1,130,3.602,-72.9,-91.8,-18.9,212.65,714782810,714781273,48,11973,10207,6264,14824,1346,3,1,True
2026-02-19T22:50:28.319,T1,1,131,3.189,-76.6,-91.2,-14.6,223.85,386717955,386716594,52,11666,11640,8669,12207,1387,3,1,True
